Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) N5_1,Coverage (%) N5_2,Coverage (%) N5_3,Coverage (%) N6_1,Coverage (%) N6_2,Coverage (%) N6_3,Coverage (%) T2_1,Coverage (%) T2_2,Coverage (%) T2_3,Coverage (%) T4_1,Coverage (%) T4_2,Coverage (%) T4_3,Area N5_1,Area N5_2,Area N5_3,Area N6_1,Area N6_2,Area N6_3,Area T2_1,Area T2_2,Area T2_3,Area T4_1,Area T4_2,Area T4_3,#Peptides,#Unique,#Spec N5_1,#Spec N5_2,#Spec N5_3,#Spec N6_1,#Spec N6_2,#Spec N6_3,#Spec T2_1,#Spec T2_2,#Spec T2_3,#Spec T4_1,#Spec T4_2,#Spec T4_3,PTM,Avg. Mass,Description
43,48,P23246|SFPQ_HUMAN,461.68,57,45,46,42,47,53,48,40,43,44,56,38,51,1.8871E5,1.8783E5,1.9889E5,2.1032E5,2.2012E5,2.2161E5,1.4401E5,1.4952E5,1.4353E5,2.2949E5,1.0602E5,2.2963E5,52,51,73,78,68,100,100,101,65,67,63,95,69,90,Carbamidomethylation; Oxidation (M),76150,Splicing factor  proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2
75,72,Q9P2E9|RRBP1_HUMAN,457.44,48,34,37,39,26,26,28,26,32,31,32,19,35,5.5302E4,5.7115E4,5.6945E4,3.5401E4,3.177E4,3.6542E4,3.3704E4,4.2136E4,3.4727E4,4.6648E4,2.0276E4,5.2225E4,57,57,64,65,69,50,48,56,50,54,55,50,33,61,Carbamidomethylation; Deamidation (NQ),152456,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5
80,251,P16989|YBOX3_HUMAN,442.72,78,68,73,71,75,74,72,70,74,74,75,71,76,6.6397E4,7.1782E4,7.791E4,4.7592E4,4.1537E4,3.5765E4,3.2019E4,3.958E4,4.4089E4,5.2501E4,1.0026E4,6.287E4,27,18,58,56,58,60,52,51,45,47,60,56,33,56,Acetylation (Protein N-term); Deamidation (NQ),40090,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4
73,43,P55072|TERA_HUMAN,430.83,64,47,43,40,50,53,58,46,46,44,52,35,54,7.4998E4,7.2468E4,7.1735E4,7.5813E4,6.9658E4,7.7784E4,6.6172E4,5.2858E4,5.7611E4,1.0344E5,3.4412E4,1.1093E5,46,46,56,59,49,63,53,56,43,47,50,69,41,69,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
35,17,P20700|LMNB1_HUMAN,429.16,76,65,66,66,66,75,72,72,70,69,72,64,74,1.1241E5,1.1724E5,1.1816E5,1.21E5,1.2093E5,1.2242E5,9.8281E4,1.0382E5,9.175E4,1.6751E5,8.8745E4,1.8518E5,62,53,75,85,80,79,96,82,82,84,92,106,77,103,Carbamidomethylation; Deamidation (NQ),66408,Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2
102,109,P12270|TPR_HUMAN,428.53,35,20,19,19,18,18,17,13,14,12,23,9,27,3.2305E4,3.3525E4,3.0834E4,3.2979E4,2.7696E4,2.4465E4,1.6376E4,1.6984E4,1.6757E4,4.6578E4,1.2976E4,4.9599E4,63,63,45,51,45,48,47,41,30,35,29,60,24,70,Acetylation (Protein N-term); Deamidation (NQ),267290,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3
22,38,P11142|HSP7C_HUMAN,428.45,65,53,54,51,54,55,52,49,51,51,57,46,54,1.6798E5,1.651E5,1.664E5,2.1148E5,2.1249E5,2.0709E5,1.9049E5,1.9625E5,1.981E5,3.0774E5,1.6395E5,3.3547E5,41,33,88,92,88,105,109,111,100,102,95,130,114,128,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
42,34,Q9NR30|DDX21_HUMAN,427.61,63,46,44,46,51,51,58,53,50,57,60,49,57,9.771E4,8.8766E4,9.7789E4,9.0165E4,8.159E4,9.314E4,1.0964E5,1.0249E5,1.1236E5,1.6158E5,6.5657E4,1.7852E5,53,51,69,82,81,67,74,91,87,82,90,106,69,107,Carbamidomethylation; Deamidation (NQ),87344,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5
37,20,P11940|PABP1_HUMAN,426.57,71,55,48,53,62,52,53,54,61,67,56,48,57,1.1392E5,1.1236E5,1.2394E5,1.2314E5,1.2157E5,1.2175E5,1.1211E5,1.1661E5,1.2234E5,1.3053E5,8.2914E4,1.3784E5,43,29,87,77,85,87,81,88,86,96,90,89,75,97,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),70671,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2
16,140,P61247|RS3A_HUMAN,424.09,79,71,76,71,77,76,76,75,75,76,75,78,75,4.3868E5,4.5597E5,4.9654E5,4.345E5,4.4898E5,4.5119E5,4.1326E5,4.4119E5,4.6076E5,3.2098E5,2.2461E5,3.578E5,38,38,121,124,130,115,122,118,111,118,128,88,81,98,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29945,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2
19,11,Q15233|NONO_HUMAN,421.09,74,65,65,63,65,63,64,62,62,64,71,56,66,2.4311E5,2.5058E5,2.5073E5,2.3111E5,2.5669E5,2.4215E5,2.0573E5,2.1152E5,2.1765E5,2.9787E5,1.1111E5,3.131E5,41,40,106,128,106,109,104,112,101,100,93,118,76,118,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),54232,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4
105,41,P13639|EF2_HUMAN,419.16,56,21,24,23,41,42,40,34,34,31,51,31,52,2.4146E4,2.5833E4,2.6488E4,4.1669E4,4.1317E4,4.2457E4,3.3454E4,3.275E4,3.4149E4,9.141E4,4.5217E4,9.1762E4,40,39,22,23,24,50,42,50,46,35,36,70,38,77,Carbamidomethylation; Deamidation (NQ),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
77,351,P67809|YBOX1_HUMAN,418.70,78,74,76,76,76,76,76,76,76,72,76,41,69,5.2718E4,6.1776E4,5.9212E4,8.0103E4,8.3197E4,7.5386E4,5.9001E4,5.7085E4,5.6414E4,4.5262E4,1.0489E4,4.1526E4,26,17,58,50,51,67,68,60,49,49,64,46,28,49,Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),35924,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3
46,141,P26599|PTBP1_HUMAN,418.69,75,62,62,71,71,62,71,71,71,71,65,43,71,1.7384E5,1.7492E5,1.6624E5,1.4987E5,1.4872E5,1.509E5,1.3592E5,1.4263E5,1.3386E5,1.714E5,5.8684E4,1.6898E5,27,23,84,92,95,75,76,95,81,72,77,78,44,75,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),57221,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1
156,132,P78527|PRKDC_HUMAN,418.12,19,5,5,4,7,6,7,5,7,6,15,8,14,7.0418E3,7.9419E3,7.9344E3,1.0664E4,9.1339E3,1.2409E4,8.342E3,8.2731E3,8.3755E3,4.2303E4,1.6016E4,3.5175E4,62,62,22,19,17,22,24,32,21,24,24,70,41,57,Carbamidomethylation; Deamidation (NQ),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
48,144,P68104|EF1A1_HUMAN,416.28,66,51,50,46,50,56,57,57,55,55,65,45,65,1.3787E5,1.5284E5,1.4446E5,2.1458E5,2.2737E5,2.3047E5,1.5811E5,1.7148E5,1.7408E5,3.4249E5,1.9036E5,3.3964E5,30,30,63,57,52,73,79,69,70,64,63,119,56,124,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50141,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
45,13,P39023|RL3_HUMAN,416.06,72,51,51,49,68,67,59,60,60,60,58,51,56,1.8497E5,1.9445E5,1.9062E5,1.7183E5,1.8076E5,1.8425E5,2.1223E5,2.3286E5,2.2898E5,1.7997E5,1.1578E5,1.9494E5,44,44,82,80,73,85,77,89,81,92,92,76,55,75,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46109,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2
62,52,P11021|BIP_HUMAN,415.62,59,35,40,39,50,47,51,49,52,49,57,46,57,4.4461E4,4.5288E4,4.3058E4,6.8563E4,6.6073E4,7.0164E4,8.5674E4,8.2713E4,8.289E4,1.5075E5,5.6461E4,1.6399E5,41,39,41,35,39,57,57,57,67,75,64,87,67,87,Deamidation (NQ),72333,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2
183,108,P48681|NEST_HUMAN,414.01,37,5,4,3,4,3,2,25,22,20,33,14,32,3.697E3,4.4006E3,2.638E3,2.4747E3,1.4717E3,1.6114E3,3.552E4,3.2332E4,3.1452E4,5.6924E4,1.7627E4,6.0184E4,47,47,9,8,7,6,5,4,47,42,37,69,27,69,Carbamidomethylation; Acetylation (Protein N-term),177438,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2
85,9,P06733|ENOA_HUMAN,412.12,78,53,57,58,76,70,71,60,59,64,76,52,74,3.9386E4,4.341E4,3.8096E4,9.4312E4,9.0386E4,9.2211E4,7.992E4,7.4157E4,7.2471E4,1.4804E5,6.0772E4,1.405E5,32,32,32,30,23,68,57,61,50,51,49,78,43,69,Carbamidomethylation; Deamidation (NQ),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
53,189,P62701|RS4X_HUMAN,410.69,82,76,76,74,76,73,74,68,74,74,77,77,73,2.3824E5,2.2839E5,2.461E5,2.3697E5,2.359E5,2.3303E5,2.4433E5,2.4615E5,2.4692E5,2.8021E5,1.7913E5,2.8983E5,34,34,59,72,70,64,68,65,67,71,79,78,53,89,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29598,40S ribosomal protein S4  X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2
56,94,Q12906|ILF3_HUMAN,408.04,45,33,34,33,36,36,34,33,33,32,41,33,38,1.1729E5,1.2167E5,1.261E5,9.9384E4,1.0292E5,1.0263E5,9.1787E4,9.6589E4,1.0195E5,1.2649E5,8.1554E4,1.3332E5,40,40,58,65,65,63,68,69,64,61,60,68,54,71,Carbamidomethylation; Deamidation (NQ),95339,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3
61,22,P08133|ANXA6_HUMAN,407.68,66,46,53,50,58,55,52,55,59,55,61,41,54,6.3832E4,6.5902E4,6.6101E4,8.0611E4,8.4315E4,8.4998E4,1.0559E5,1.547E5,1.5093E5,7.9399E4,6.1707E4,8.2174E4,43,43,48,52,53,72,59,67,76,83,66,58,40,59,Carbamidomethylation; Deamidation (NQ),75873,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3
172,97,P07814|SYEP_HUMAN,407.05,45,11,11,8,21,15,14,14,17,14,39,17,35,7.1944E3,6.62E3,6.1739E3,1.4751E4,1.3869E4,1.0783E4,1.3549E4,1.2275E4,1.4118E4,4.0792E4,1.2082E4,4.2363E4,51,51,15,19,13,29,23,26,21,26,21,62,28,59,Carbamidomethylation,170590,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5
65,21,P08779|K1C16_HUMAN,404.45,70,21,26,23,59,53,58,51,51,53,67,60,63,1.2824E3,2.1218E3,2.2598E3,1.9524E4,1.6198E4,1.7179E4,3.0103E4,2.6029E4,3.0403E4,2.2119E5,8.9799E4,2.4163E5,37,19,12,18,14,52,45,48,61,61,60,121,100,127,Carbamidomethylation; Oxidation (M); Deamidation (NQ),51268,Keratin  type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4
205,26,Q16891|MIC60_HUMAN,403.95,62,15,11,12,12,10,13,22,18,22,53,34,58,6.4906E3,5.8705E3,6.0581E3,5.0534E3,3.9989E3,4.0158E3,1.2265E4,1.2017E4,1.3387E4,5.1037E4,2.1253E4,5.3502E4,42,42,13,12,14,9,10,11,20,21,23,61,42,66,Carbamidomethylation; Deamidation (NQ),83678,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1
72,60,Q13435|SF3B2_HUMAN,402.28,53,42,43,43,52,44,43,40,42,46,46,41,48,8.2284E4,9.1696E4,9.4076E4,8.6954E4,7.4059E4,8.4173E4,6.211E4,7.0896E4,6.7446E4,8.5686E4,4.1194E4,9.3769E4,41,41,50,59,57,67,54,55,46,56,51,60,46,59,Acetylation (Protein N-term),100228,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2
120,53,P08238|HS90B_HUMAN,397.25,59,23,25,24,25,26,31,35,33,31,53,39,56,1.4068E4,1.7759E4,1.6941E4,1.5147E4,1.4217E4,1.4606E4,2.9017E4,2.8635E4,2.6889E4,8.4528E4,3.9488E4,8.6036E4,40,27,19,27,22,24,27,26,46,38,34,74,49,84,Carbamidomethylation,83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
76,143,P61978|HNRPK_HUMAN,397.22,60,55,50,55,60,48,58,47,49,53,58,34,60,9.5075E4,9.9423E4,9.7086E4,1.042E5,1.1088E5,1.0387E5,7.3318E4,7.8252E4,7.6076E4,1.1216E5,5.8728E4,1.2168E5,29,29,58,54,52,60,54,59,47,45,51,56,38,66,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),50976,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1
58,164,P46777|RL5_HUMAN,393.04,74,71,71,60,69,69,58,59,72,72,71,54,74,1.7871E5,1.9198E5,2.0321E5,1.5335E5,1.5736E5,1.5958E5,2.0315E5,2.1451E5,2.2094E5,1.856E5,1.0184E5,2.0189E5,30,30,61,68,72,57,56,60,67,72,75,57,43,64,Carbamidomethylation; Oxidation (M); Deamidation (NQ),34363,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3
81,46,P04259|K2C6B_HUMAN,391.60,61,15,17,15,41,33,34,46,47,40,58,50,57,,,,,,0,0,4.7216E2,,5.4938E3,3.0427E3,5.2341E3,36,2,20,26,24,42,40,40,66,72,64,85,70,82,Carbamidomethylation; Oxidation (M); Deamidation (NQ),60067,Keratin  type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5
64,267,P04406|G3P_HUMAN,391.54,76,46,47,47,55,55,55,55,55,53,62,56,72,6.4002E4,6.5007E4,6.7344E4,1.3203E5,1.2935E5,1.3168E5,1.2347E5,1.2349E5,1.2776E5,2.2249E5,9.9217E4,2.3249E5,27,27,38,37,34,63,62,67,59,59,56,103,58,85,Carbamidomethylation; Deamidation (NQ),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
84,243,Q6NZI2|CAVN1_HUMAN,391.28,58,51,54,51,53,55,53,53,42,53,53,41,42,1.0907E5,1.1363E5,1.1047E5,1.2156E5,1.298E5,1.3297E5,1.0536E5,1.1377E5,1.0357E5,1.8138E5,8.2346E4,1.928E5,24,24,46,45,44,48,56,54,49,53,51,59,44,64,Acetylation (Protein N-term); Deamidation (NQ),43476,Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1
79,199,Q8NC51|PAIRB_HUMAN,390.29,56,44,50,52,50,49,50,53,54,54,47,52,49,9.5003E4,1.0049E5,1.0838E5,8.0721E4,7.8937E4,7.8996E4,1.0572E5,1.0404E5,1.0819E5,1.0779E5,5.726E4,1.2091E5,28,28,59,54,60,40,52,52,49,55,55,57,46,55,Carbamidomethylation; Oxidation (M); Deamidation (NQ),44965,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2
